"","iso3","area_name","kp","lower","median","upper","source"
"1","AGO","Angola","FSW",0.0107064147630707,0.0240146159208333,0.0566714842739385,"Full data"
"2","BDI","Burundi","FSW",0.0105175094349331,0.0235969931986747,0.0511830714410784,"Full data"
"3","BEN","Benin","FSW",0.00490608688432779,0.0084660707724446,0.0145536697394796,"Full data"
"4","BFA","Burkina Faso","FSW",0.00530890521274165,0.0107636062648423,0.0219577819516976,"Full data"
"5","CIV","Cote d'Ivoire","FSW",0.00330171007412571,0.00527460539325477,0.00834608190041713,"Full data"
"6","CMR","Cameroon","FSW",0.0110383329547364,0.0142871463505526,0.0190100885725792,"Full data"
"7","COD","Democratic Republic of The Congo","FSW",0.00665951231374394,0.0128455782958406,0.0275362618914366,"Full data"
"8","COG","Congo","FSW",0.0174949411992247,0.0392051523152998,0.0806741476765614,"Full data"
"9","ETH","Ethiopia","FSW",0.00365358020381184,0.00588188059642592,0.00948173864591847,"Full data"
"10","GHA","GHANA","FSW",0.00378448974082556,0.00666044916497072,0.0122397310309498,"Full data"
"11","GIN","Guinea","FSW",0.00548988842834766,0.0127146273866848,0.0302123652240988,"Full data"
"12","GMB","The Gambia","FSW",0.00366727951659958,0.014240418107131,0.052607314780082,"Full data"
"13","KEN","Kenya","FSW",0.0048290820178742,0.00692247669250531,0.00998483742528996,"Full data"
"14","LBR","Liberia","FSW",0.0603949052320745,0.106906551356077,0.185539341227611,"Full data"
"15","LSO","Lesotho","FSW",0.00910620152400883,0.0207323988720917,0.0481437170890468,"Full data"
"16","MLI","Mali","FSW",0.00391624958220861,0.00608716266987863,0.00965627319732826,"Full data"
"17","MOZ","Mozambique","FSW",0.0118551431032942,0.0253072368514323,0.0555715077306361,"Full data"
"18","MWI","Malawi","FSW",0.00533648939900481,0.00886351372490817,0.0147332781646661,"Full data"
"19","NAM","Namibia","FSW",0.0157558732433001,0.0266139877018558,0.0456150431569995,"Full data"
"20","NER","Niger","FSW",0.00100771802082935,0.00143073728003648,0.00195806999439979,"Full data"
"21","NGA","Nigeria","FSW",0.0118716689756324,0.0162555056670518,0.0228547836058107,"Full data"
"22","RWA","Rwanda","FSW",0.00267448770382075,0.00497813034477133,0.00978685018752693,"Full data"
"23","SEN","Senegal","FSW",0.00392209161612247,0.00886589680152724,0.0197778928607761,"Full data"
"24","SLE","Sierra Leone","FSW",0.0088109937253881,0.0341187200055414,0.146684247594915,"Full data"
"25","SWZ","Eswatini","FSW",0.0184219346006819,0.0372886064817449,0.0700995836460269,"Full data"
"26","TGO","Togo","FSW",0.00516387606290445,0.0082640366344075,0.0132953708859122,"Full data"
"27","TZA","United Republic of Tanzania","FSW",0.00564745279104423,0.0115529888128109,0.0215830743123932,"Full data"
"28","UGA","Uganda","FSW",0.00527680963260095,0.00868742551544934,0.0144133808396194,"Full data"
"29","ZMB","Zambia","FSW",0.0116961671421389,0.0173946956133122,0.0250772268482718,"Full data"
"30","ZWE","Zimbabwe","FSW",0.00770320356618973,0.0186918701727143,0.039140026503004,"Full data"
"31","AGO","Angola","MSM",0.00473875087047877,0.0150924161294776,0.0513833647149238,"Full data"
"32","BDI","Burundi","MSM",0.00260565810767686,0.00619722287358761,0.014142177688445,"Full data"
"33","BEN","Benin","MSM",0.00230680325032395,0.00494633480181052,0.01126775343063,"Full data"
"34","BFA","Burkina Faso","MSM",0.00130729188658302,0.00349547255760824,0.00871192142935007,"Full data"
"35","CIV","Cote d'Ivoire","MSM",0.00758972645151453,0.0095696993974896,0.0117689126552752,"Full data"
"36","CMR","Cameroon","MSM",0.00437392525881307,0.00600103562491159,0.00813767975908065,"Full data"
"37","COD","Democratic Republic of The Congo","MSM",0.00198409927283643,0.00438845328547139,0.0103070659349137,"Full data"
"38","COG","Congo","MSM",0.00102732802830551,0.00369044176391817,0.0113979383082511,"Full data"
"39","ETH","Ethiopia","MSM",0.00118189342002959,0.00773773538594735,0.046840752831183,"Full data"
"40","GHA","GHANA","MSM",0.00614265295652302,0.0108224931760626,0.0191850997721422,"Full data"
"41","GIN","Guinea","MSM",0.00206604705577377,0.00554721916116126,0.013185143749723,"Full data"
"42","GMB","The Gambia","MSM",0.00155944342756946,0.00647308066489691,0.0257372233379269,"Full data"
"43","KEN","Kenya","MSM",0.000902401641019648,0.00118968666096643,0.00156826224728967,"Full data"
"44","LBR","Liberia","MSM",0.0243568292971095,0.0477184041333537,0.0908184591608738,"Full data"
"45","LSO","Lesotho","MSM",0.0103399292755194,0.0230622833998182,0.0595797599693569,"Full data"
"46","MLI","Mali","MSM",0.00152968128415019,0.00245471450126216,0.00414812394248929,"Full data"
"47","MOZ","Mozambique","MSM",0.00644052242075491,0.0143477094062971,0.0314120914790207,"Full data"
"48","MWI","Malawi","MSM",0.00206795196541763,0.00363826685313929,0.00640750279898462,"Full data"
"49","NAM","Namibia","MSM",0.00687776025573192,0.0119758997805275,0.0208393605917642,"Full data"
"50","NER","Niger","MSM",0.00148052264974233,0.00364869041825225,0.00821831557719341,"Full data"
"51","NGA","Nigeria","MSM",0.0023795073261732,0.00337485500055712,0.00479379778115133,"Full data"
"52","RWA","Rwanda","MSM",0.00303355447545739,0.00913400348821305,0.0251391411968412,"Full data"
"53","SEN","Senegal","MSM",0.00252486876415633,0.00542563391791026,0.0106386883739183,"Full data"
"54","SLE","Sierra Leone","MSM",0.00208298024483494,0.0092906124017993,0.0392000063512247,"Full data"
"55","SWZ","Eswatini","MSM",0.0125079497335617,0.0263091739754992,0.0554777638647373,"Full data"
"56","TGO","Togo","MSM",0.00287675939803924,0.00461943398513241,0.00734514023351569,"Full data"
"57","TZA","United Republic of Tanzania","MSM",0.00243542648377704,0.00667819718995795,0.0195492512180883,"Full data"
"58","UGA","Uganda","MSM",0.00256334475921081,0.00468630644488912,0.00841831215837937,"Full data"
"59","ZMB","Zambia","MSM",0.004214928042366,0.00744285975453102,0.0129697938648747,"Full data"
"60","ZWE","Zimbabwe","MSM",0.00566520029441012,0.0180195695146647,0.0628218995906966,"Full data"
"61","AGO","Angola","PWID",0.000172740343041791,0.000726114027284042,0.00279062602812711,"Full data"
"62","BDI","Burundi","PWID",0.000138101890096936,0.000667616375217586,0.00290259454003814,"Full data"
"63","BEN","Benin","PWID",0.000298846673519162,0.00079314413882702,0.00232549164572823,"Full data"
"64","BFA","Burkina Faso","PWID",0.000163074569949293,0.00068970588794382,0.00320611085910782,"Full data"
"65","CIV","Cote d'Ivoire","PWID",0.00037211394128778,0.0010238640895913,0.00276606742988353,"Full data"
"66","CMR","Cameroon","PWID",0.000241945482323112,0.000517592802367913,0.00100061733136088,"Full data"
"67","COD","Democratic Republic of The Congo","PWID",0.000319753419826027,0.000762715112862414,0.001800287281784,"Full data"
"68","COG","Congo","PWID",0.000196873047778859,0.000584246449837064,0.00182647314110037,"Full data"
"69","ETH","Ethiopia","PWID",0.000166858181372491,0.000544910770339745,0.00167471646761337,"Full data"
"70","GHA","GHANA","PWID",0.000210063670549282,0.000738973438009376,0.00290982831094562,"Full data"
"71","GIN","Guinea","PWID",0.000253101997607396,0.000623611668325881,0.00163680459052374,"Full data"
"72","GMB","The Gambia","PWID",0.000143483537994838,0.000702787592041175,0.00296870334116607,"Full data"
"73","KEN","Kenya","PWID",0.0002382959972936,0.000354614851713489,0.000514345803415736,"Full data"
"74","LBR","Liberia","PWID",0.00062343553468212,0.00157788001780941,0.00466581270176571,"Full data"
"75","LSO","Lesotho","PWID",0.000170018961870132,0.000706899031826268,0.00274051429374534,"Full data"
"76","MLI","Mali","PWID",0.000270485666546472,0.000837639882568315,0.00284839531041436,"Full data"
"77","MOZ","Mozambique","PWID",0.00033576035603508,0.000891553937016155,0.00291056773441617,"Full data"
"78","MWI","Malawi","PWID",0.000168275994872626,0.000665945806345239,0.00347885306902895,"Full data"
"79","NAM","Namibia","PWID",0.000169795176796009,0.000625192539458209,0.00227806409969237,"Full data"
"80","NER","Niger","PWID",0.000172772529826628,0.00069574192678131,0.00301938498627562,"Full data"
"81","NGA","Nigeria","PWID",0.000843173913237517,0.00133638637986791,0.00219303860503617,"Full data"
"82","RWA","Rwanda","PWID",7.5502025384499e-05,0.000406036606412359,0.00163151084637923,"Full data"
"83","SEN","Senegal","PWID",0.000245498448139217,0.00065487117230139,0.00160505219092094,"Full data"
"84","SLE","Sierra Leone","PWID",0.000182735546605229,0.000665743483639624,0.0020308745931892,"Full data"
"85","SWZ","Eswatini","PWID",0.000186465065614455,0.000649564990597338,0.00263172419167495,"Full data"
"86","TGO","Togo","PWID",0.00030730671780094,0.000769375063097748,0.00213254109609002,"Full data"
"87","TZA","United Republic of Tanzania","PWID",9.80988626409445e-05,0.000197450928003523,0.000403104092226481,"Full data"
"88","UGA","Uganda","PWID",0.000378875380784276,0.000946463800187922,0.00251568264615178,"Full data"
"89","ZMB","Zambia","PWID",0.000434010254472992,0.00110787504613272,0.00306221933468495,"Full data"
"90","ZWE","Zimbabwe","PWID",0.000196721009857851,0.000718444533760584,0.00290504034084295,"Full data"
