iso3,study_idx,observation_idx,kp,method,area_name,count_estimate,c1,c2,c3,c3_prop
AGO,4,3481,MSM,Object multiplier,Luanda,6236,792,351,,
BDI,7,648,FSW,Service multiplier,Bujumbura,8799,359,498,,0.0408
BDI,7,654,FSW,SS-PSE,Bujumbura,1563,,,,
BDI,7,649,FSW,Service multiplier,Gitega,1017,118,248,,0.116
BDI,7,3524,FSW,SS-PSE,Gitega,1588,,,,
BDI,7,655,FSW,SS-PSE,Kirundo,632,,,,
BDI,7,3522,FSW,SS-PSE,Makamba,452,,,,
BDI,7,3523,FSW,SS-PSE,Mukungu,463,,,,
BDI,7,3527,FSW,SS-PSE,Muyinga,642,,,,
BDI,7,3525,FSW,SS-PSE,Ngozi,819,,,,
BDI,7,651,FSW,Service multiplier,Ngozi; Kirundo; Muyinga,1416,,,,
BDI,7,652,FSW,Service multiplier,Ngozi; Kirundo; Muyinga,7361,,,,
BDI,7,3526,FSW,SS-PSE,Rumonge,668,,,,
BDI,7,650,FSW,Service multiplier,Rumonge; Makamba,421,,,,
BDI,7,653,FSW,Service multiplier,Rumonge; Makamba,6000,,,,
BDI,7,3532,MSM,Service multiplier,Bujumbura,6452,490,245,,0.076
BDI,7,3555,MSM,SS-PSE,Bujumbura,879,,,,
BDI,7,3559,MSM,SS-PSE,Gitega,962,,,,
BDI,7,3556,MSM,SS-PSE,Kirundo,458,,,,
BDI,7,3557,MSM,SS-PSE,Makamba,126,,,,
BDI,7,3558,MSM,SS-PSE,Mukungu,440,,,,
BDI,7,3562,MSM,SS-PSE,Muyinga,412,,,,
BDI,7,3560,MSM,SS-PSE,Ngozi,342,,,,
BDI,7,3561,MSM,SS-PSE,Rumonge,541,,,,
BDI,7,3567,PWID,Service multiplier,Bujumbura,4215,94,178,,0.023
BDI,7,3568,PWID,Service multiplier,Bujumbura,7556,68,178,,0.009
BDI,7,3569,PWID,Service multiplier,Bujumbura,5667,68,178,,0.012
BEN,22,3597,TGW,Object multiplier,Abomey-Calavi,98,45,48,22,
BEN,22,3598,TGW,Object multiplier,Bohicon,333,30,22,2,
BEN,22,3599,TGW,Object multiplier,Cotonou,686,133,103,20,
BEN,22,3600,TGW,Object multiplier,Ouidah,54,43,30,24,
BEN,22,3601,TGW,Object multiplier,Parakou,393,48,30,24,
BEN,22,3605,TGW,Object multiplier,Porto-Novo,83,54,46,30,
BWA,30,3722,MSM,Service multiplier,Boteti,225,225,10,,1
BWA,30,3723,MSM,Service multiplier,Chobe,18,10,9,,0.556
BWA,30,3724,MSM,Service multiplier,Greater Francistown,403,289,127,,0.717
BWA,30,3725,MSM,Service multiplier,Greater Gaborone,455,362,83,,0.795
BWA,30,3727,MSM,Service multiplier,Ngamiland,269,192,7,,0.714
BWA,30,3728,MSM,Service multiplier,Palapye,449,234,23,,0.522
BWA,30,3729,MSM,Service multiplier,Selebi Phikwe,146,107,34,,0.735
BWA,30,3730,MSM,Service multiplier,Serowe,463,267,26,,0.577
BWA,30,3732,MSM,Service multiplier,Tutume,178,178,13,,1
BWA,32,3767,MSM,Event multiplier,Francistown,360,31,151,13,
BWA,32,3768,MSM,Event multiplier,Gaborone,292,36,273,71,
CAF,33,3769,FSW,2S-CRC,Bangui,2387,1132,823,370,
CAF,33,3788,FSW,Object multiplier,Bangui,2338,,,,
CAF,33,3775,FSW,2S-CRC,Berberati,545,253,125,46,
CAF,33,3789,FSW,Object multiplier,Berberati,505,,,,
CAF,33,3776,FSW,2S-CRC,Boali,288,114,61,0,
CAF,33,3790,FSW,Object multiplier,Boali,245,,,,
CAF,33,3777,FSW,2S-CRC,Bouar,214,157,75,55,
CAF,33,3791,FSW,Object multiplier,Bouar,978,,,,
CAF,33,3778,FSW,2S-CRC,Carnot,184,33,152,1,
CAF,33,3792,FSW,Object multiplier,Carnot,283,,,,
CAF,33,3779,MSM,Event multiplier,Bangui,1039,,,,
CAF,33,3780,MSM,Event multiplier,Berberati,43,,,,
CAF,33,3781,MSM,Event multiplier,Boali,44,,,,
CAF,33,3782,MSM,Event multiplier,Bouar,150,,,,
CAF,33,3783,MSM,Event multiplier,Carnot,24,,,,
CIV,46,3819,FSW,2S-CRC,Aboisso,313,,,,
CIV,46,3824,FSW,Event multiplier,Aboisso,682,,,,
CIV,46,3830,FSW,Object multiplier,Aboisso,962,,,,
CIV,46,3820,FSW,2S-CRC,Agboville,422,,,,
CIV,46,3825,FSW,Event multiplier,Agboville,371,,,,
CIV,46,3832,FSW,Object multiplier,Agboville,500,,,,
CIV,46,3821,FSW,2S-CRC,Katiola,731,,,,
CIV,46,3840,FSW,Service multiplier,Katiola,915,,,,
CIV,46,3822,FSW,2S-CRC,Soubre,1346,,,,
CIV,46,3826,FSW,Event multiplier,Soubre,625,,,,
CIV,46,3835,FSW,Object multiplier,Soubre,820,,,,
CIV,46,3823,FSW,2S-CRC,Yamoussoukro,649,,,,
CIV,46,3827,FSW,Event multiplier,Yamoussoukro,815,,,,
CIV,46,3836,FSW,Object multiplier,Yamoussoukro,962,,,,
CIV,48,3843,MSM,Object multiplier,Abengourou,1112,249,183,41,
CIV,48,3845,MSM,Object multiplier,Bouafle,216,180,216,180,
CIV,48,3847,MSM,Object multiplier,Daloa,552,284,390,201,
CIV,48,3848,MSM,Object multiplier,Divo,460,200,202,88,
CIV,48,3851,MSM,Object multiplier,Korhogo,310,212,310,212,
COD,59,4148,FSW,2S-CRC,Ituri; Haut-Uele; Tshopo; Bas-Uele,145512,,,,
COD,59,4134,FSW,2S-CRC,Kinshasa,102714,,,,
COD,59,4128,FSW,2S-CRC,Kongo Central,34238,,,,
COD,59,4137,FSW,2S-CRC,Nord Kivu,59917,,,,
COD,59,4149,FSW,2S-CRC,Sud Kivu,51357,,,,
COD,59,4131,FSW,2S-CRC,Tanganyika; Haut-Lomami; Lualaba; Haut-Katanga,86059,,,,
COD,59,4144,MSM,2S-CRC,Ituri; Haut-Uele; Tshopo; Bas-Uele,52825,,,,
COD,59,4135,MSM,2S-CRC,Kinshasa,89141,,,,
COD,59,4129,MSM,2S-CRC,Kongo Central,19809,,,,
COD,59,4139,MSM,2S-CRC,Nord Kivu,19809,,,,
COD,59,4150,MSM,2S-CRC,Sud Kivu,13205,,,,
COD,59,4132,MSM,2S-CRC,Tanganyika; Haut-Lomami; Lualaba; Haut-Katanga,42927,,,,
COD,59,4145,PWID,2S-CRC,Ituri; Haut-Uele; Tshopo; Bas-Uele,1712,,,,
COD,59,4136,PWID,2S-CRC,Kinshasa,1834,,,,
COD,59,4130,PWID,2S-CRC,Kongo Central,734,,,,
COD,59,4140,PWID,2S-CRC,Nord Kivu,611,,,,
COD,59,4151,PWID,2S-CRC,Sud Kivu,856,,,,
COD,59,4133,PWID,2S-CRC,Tanganyika; Haut-Lomami; Lualaba; Haut-Katanga,1689,,,,
COD,63,4182,FSW,Multiple methods - mixture,Kinshasa,3941,,,,
COD,63,4181,MSM,Multiple methods - mixture,Kinshasa,4403,,,,
COD,63,4183,PWID,Multiple methods - mixture,Kinshasa,3381,,,,
COD,64,4185,FSW,Multiple methods - empirical,Kinshasa,16884,,,,
COD,64,4184,MSM,Multiple methods - empirical,Kinshasa,9458,,,,
COD,64,4187,PWID,Multiple methods - empirical,Kinshasa,5202,,,,
GHA,73,4447,FSW,Service multiplier,Ashanti,9566,8007,496,,0.837
GHA,73,4448,FSW,Service multiplier,"Bono, Bono East, Ahafo",8066,6445,472,,0.799
GHA,73,4449,FSW,Service multiplier,Central,2351,1822,436,,0.775
GHA,73,4450,FSW,Service multiplier,Eastern,9071,6740,428,,0.743
GHA,73,4451,FSW,Service multiplier,Greater Accra,10851,6413,922,,0.591
GHA,73,4452,FSW,Service multiplier,Northern,1609,991,336,,0.616
GHA,73,4453,FSW,Service multiplier,Upper East,392,319,443,,0.813
GHA,73,4454,FSW,Service multiplier,Upper West,201,165,182,,0.819
GHA,73,4457,FSW,Service multiplier,Volta,2702,1964,472,,0.727
GHA,73,4458,FSW,Service multiplier,Western,20243,9413,564,,0.465
GHA,75,4466,FSW,2S-CRC,Ashanti,1315,,,,
GHA,75,4467,FSW,2S-CRC,"Bono, Bono East, Ahafo",442,,,,
GHA,75,4468,FSW,2S-CRC,Central,496,,,,
GHA,75,4469,FSW,2S-CRC,Eastern,547,,,,
GHA,75,4470,FSW,2S-CRC,Greater Accra,3027,,,,
GHA,75,4473,FSW,2S-CRC,Northern,180,,,,
GHA,75,4476,FSW,2S-CRC,Upper East,168,,,,
GHA,75,4485,FSW,2S-CRC,Upper West,192,,,,
GHA,75,4486,FSW,2S-CRC,Volta,428,,,,
GHA,75,4487,FSW,2S-CRC,Western,436,,,,
GHA,80,4620,FSW,2S-CRC,Ashanti,1123,602,448,240,
GHA,80,4621,FSW,2S-CRC,"Bono, Bono East, Ahafo",377,364,122,118,
GHA,80,4622,FSW,2S-CRC,Central,461,261,182,103,
GHA,80,4623,FSW,2S-CRC,Eastern,511,313,222,136,
GHA,80,4624,FSW,2S-CRC,Greater Accra,2397,739,582,179,
GHA,80,4626,FSW,2S-CRC,Northern,180,111,97,60,
GHA,80,4627,FSW,2S-CRC,Upper East,168,161,145,140,
GHA,80,4628,FSW,2S-CRC,Upper West,180,89,95,47,
GHA,80,4629,FSW,2S-CRC,Volta,373,302,223,181,
GHA,80,4632,FSW,2S-CRC,Western,347,216,130,81,
GIN,85,5888,MSM,Object multiplier,Conakry,1423,200,415,60,
GIN,87,4703,MSM,2S-CRC,Boke,30,23,9,7,
GIN,87,4705,MSM,2S-CRC,Faranah,11,11,1,1,
GIN,87,4706,MSM,2S-CRC,Fria,14,14,2,2,
GIN,87,4721,MSM,2S-CRC,Kankan,29,19,3,2,
GIN,87,4722,MSM,2S-CRC,Kindia,13,13,2,2,
GIN,87,4723,MSM,2S-CRC,Labe,38,32,6,5,
GIN,87,4724,MSM,2S-CRC,Mamou,12,18,2,3,
GIN,87,4725,MSM,2S-CRC,Nzerekore,66,66,2,2,
GIN,87,4764,MSM,2S-CRC,Siguiri,47,20,7,3,
GIN,89,4955,MSM,2S-CRC,Dixinn,92,57,50,31,
GIN,89,4956,MSM,2S-CRC,Kaloum,72,35,49,24,
GIN,89,4960,MSM,2S-CRC,Matam,69,48,26,18,
GIN,89,4701,MSM,2S-CRC,Matoto,66,45,25,17,
GIN,89,5022,MSM,2S-CRC,Ratoma,314,140,112,56,
GNB,98,5090,FSW,Multiple methods - mixture,"Bissora, Bafata, Gabu, Sector Autonomo de Bissau",7894,,,,
GNB,98,5089,MSM,Multiple methods - empirical,"Bissora, Bafata, Gabu, Sector Autonomo de Bissau",3608,,,,
KEN,123,5592,FSW,Service multiplier,Nairobi,54467,1634,465,,0.03
KEN,123,5593,FSW,Service multiplier,Nairobi,16550,331,465,,0.02
KEN,123,5594,FSW,Service multiplier,Nairobi,649000,4543,465,,0.007
KEN,123,5595,MSM,Service multiplier,Nairobi,10417,250,563,,0.024
KEN,123,5596,MSM,Service multiplier,Nairobi,3261,150,563,,0.046
KEN,123,5597,MSM,Service multiplier,Nairobi,22222,400,563,,0.018
KEN,123,5598,MSM,Service multiplier,Nairobi,11667,140,563,,0.012
KEN,123,5599,PWID,Service multiplier,Nairobi,22727,250,352,,0.011
KEN,123,5600,PWID,Service multiplier,Nairobi,13251,53,352,,0.004
KEN,123,5601,PWID,Service multiplier,Nairobi,5031,893,352,,0.1775
KEN,123,5602,PWID,Service multiplier,Nairobi,5652,1526,352,,0.27
LSO,125,5398,FSW,Multiple methods - mixture,Butha-Buthe,3910,,,,
LSO,125,5414,FSW,Multiple methods - mixture,Leribe,2215,,,,
LSO,125,5421,FSW,Multiple methods - mixture,Mafeteng,2996,,,,
LSO,125,5442,FSW,Multiple methods - mixture,Maseru,6198,,,,
LSO,125,5716,MSM,Multiple methods - mixture,Butha-Buthe,1085,,,,
LSO,125,5717,MSM,Multiple methods - mixture,Leribe,1197,,,,
LSO,125,5720,MSM,Multiple methods - mixture,Mafeteng,951,,,,
LSO,125,7218,MSM,Multiple methods - mixture,Maseru,2848,,,,
LSO,127,5443,FSW,Object multiplier,Maseru,1387,372,410,110,
LSO,127,5444,FSW,Service multiplier,Maseru,438,63,410,59,
LSO,127,7219,MSM,Object multiplier,Maseru,1842,366,317,63,
LSO,127,7352,MSM,Service multiplier,Maseru,481,68,318,45,
MOZ,139,5835,MSM,Event multiplier,Beira,2397,163,583,,0.068
MOZ,139,5842,MSM,Object multiplier,Beira,7181,517,583,,0.072
MOZ,139,5845,MSM,Service multiplier,Beira,1231,32,583,,0.026
MOZ,139,5838,MSM,Event multiplier,"Cidade de Maputo, Matola",6947,264,496,,0.038
MOZ,139,5843,MSM,Object multiplier,"Cidade de Maputo, Matola",28500,684,496,,0.024
MOZ,139,5846,MSM,Service multiplier,"Cidade de Maputo, Matola",6400,96,496,,0.015
MOZ,139,5839,MSM,Event multiplier,Nampula/Nacala,1075,57,353,,0.053
MOZ,139,5844,MSM,Object multiplier,Nampula/Nacala,12064,567,353,,0.047
MOZ,139,5849,MSM,Service multiplier,Nampula/Nacala,1474,56,353,,0.038
MOZ,140,5850,FSW,Event multiplier,Beira,2955,65,411,,0.022
MOZ,140,5915,FSW,Object multiplier,Beira,10152,335,411,,0.033
MOZ,140,5877,FSW,Event multiplier,"Cidade de Maputo, Matola",2859,91,400,,0.032
MOZ,140,5927,FSW,Object multiplier,"Cidade de Maputo, Matola",8568,814,400,,0.095
MOZ,140,5878,FSW,Event multiplier,Nampula,2429,17,429,,0.007
MOZ,140,5928,FSW,Object multiplier,Nampula,6929,589,429,,0.085
MOZ,143,6118,FSW,Event multiplier,Beira,9255,,,,
MOZ,143,6137,FSW,Object multiplier,Beira,19660,,,,
MOZ,143,6146,FSW,Service multiplier,Beira,6957,,,,
MOZ,143,6152,FSW,SS-PSE,Beira,2001,,,,
MOZ,143,6120,FSW,Event multiplier,"Cidade de Maputo, Matola",1666,,,,
MOZ,143,6138,FSW,Object multiplier,"Cidade de Maputo, Matola",3279,,,,
MOZ,143,6148,FSW,Service multiplier,"Cidade de Maputo, Matola",4766,,,,
MOZ,143,6153,FSW,SS-PSE,"Cidade de Maputo, Matola",3792,,,,
MOZ,143,6121,FSW,Event multiplier,Nampula,3752,,,,
MOZ,143,6140,FSW,Object multiplier,Nampula,7915,,,,
MOZ,143,6149,FSW,Service multiplier,Nampula,2663,,,,
MOZ,143,6154,FSW,SS-PSE,Nampula,1025,,,,
MOZ,143,6122,FSW,Event multiplier,Quelimane,1676,,,,
MOZ,143,6143,FSW,Object multiplier,Quelimane,8452,,,,
MOZ,143,6150,FSW,Service multiplier,Quelimane,2949,,,,
MOZ,143,6155,FSW,SS-PSE,Quelimane,2546,,,,
MOZ,143,6124,FSW,Event multiplier,Tete,2265,,,,
MOZ,143,6145,FSW,Object multiplier,Tete,6015,,,,
MOZ,143,6151,FSW,Service multiplier,Tete,588,,,,
MOZ,143,6158,FSW,SS-PSE,Tete,1189,,,,
MWI,151,6239,FSW,Object multiplier,Blantyre City,1800,1235,375,354,
MWI,151,6241,FSW,Object multiplier,Karonga,1200,813,226,155,
