site,wards that fall in the site,total_females,females_15-49,
Beitbridge,1-6,21641,10508,
Bindura,1-12,22791,11066,
Birchenough Bridge,33,5157,2504,
Bulawayo,1-29,351229,170539,
Checheche,24,10112,4910,
Chegutu,1-12,26269,12755,
Chimanimani,15,2557,1242,
Chinhoyi,1-15,41750,20272,
Chipinge,1-8,13884,6741,
Chiredzi,1-8,16113,7824,
Chirundu,7 (Makonde),1545,750,
Chivhu,11-13,2683,1303,
Chivi,30,2472,1200,
Gokwe,1-6,13228,6423,
Gutu,33-34,4048,1966,
Gwanda,1-10,10813,5250,
Gweru,1-17,84361,40961,
Harare,N/A,1040355,505143,
Hwange,1-15,18858,9156,
Jerera,19,5846,2839,
Juru,12,7510,3646,
Kadoma,1-17,47065,22852,
Kamativi,11,1600,777,
Kariba,1-9,13496,6553,
Karoi,1-10,15417,7486,
Lupane,15,3193,1550,
Magunje,10,4480,2175,
Makaha,14 (Mudzi district),5105,2479,
Marondera,1-12,33132,16087,
Masvingo,1-10,47550,23088,
Mazowe,"1-6, 15, 17, 33, 34",35046,17017,
Milibisi,"9, 13 (Binga district)",5259,2554,
Mt Darwin,26,4290,2083,
Mukumbura,2 (Mt Darwin district),6347,3082,
Murambinda,14 (Buhera district),7928,3849,
Murewa,30,7674,3726,
Mutare,1-19,99286,48208,
Mutoko,20,6604,3207,
Mvuma,"13, 14, 24 (Chirumanzu district)",2901,1409,
Ngezi,11-13,18767,9112,
Ngundu,25 (Chivi district),6059,2942,
Nkayi,29,2927,1421,
Nyamapanda ,1 (Mudzi),3442,1671,
Nyanga,"29, 31",3981,1933,
Nyika,9,3786,1838,
Plumtree ,1-6,6265,3042,
Redcliff,1-9,18754,9106,
Rusape,1-10,16011,7774,
Sanyati,18,2245,1090,
Shamva,"22-24, 29",8637,4194,
Shurugwi,1-13,11115,5397,
Tsholotsho,22,4329,2102,
UMP,6,3539,1718,
Victoria Falls,1-11,17494,8494,
West Nicholson,21 (Gwanda rural district),3242,1574,
Zvishavane,1-10,23800,11556,